Supplier Name,Location,Category,Product,Transportation Mode,Transportation Route,Distribution Network,Emission Intensity (kg CO2/unit),Total Emissions (ton CO2),Fuel Consumption (liters),Energy Consumption (GJ),Sustainability Rating,Regulatory Impact,Year
Quantum Distributors,Colombia,Transportation,Radiator,Air,Port of Antwerp,Suppliers,5.27,37.83,4173.29,118.45,8.1,Medium,2018
Nova Resource Group,Ukraine,Transportation,Tire,Air,Interstate 5 (I-5),Wholesalers,2.1,14.57,1741.9,807.9,6.7,High,2020
Quantum Logistics,Indonesia,Electric,Solar Panel,Train,Interstate 10 (I-10),Wholesalers,10.26,28.87,6284.09,363.27,6.5,High,2020
Zenith Supply Co.,Switzerland,Transportation,Air Filter,Air,TGV Paris-Marseille,Wholesalers,19.29,2.33,4480.69,296.16,5.6,Low,2022
Zenith Logistics,Brazil,Commercial,Office Desk,Ship,Interstate 40 (I-40),Retailers,7.05,28.31,3227.05,308.07,8.5,Medium,2018
Horizon Distribution,Chile,Commercial,Projector,Train,Port of Jebel Ali,Logistics,16.56,38.62,284.74,234.05,5.7,Medium,2018
Pinnacle Trading Co.,Singapore,Electric,Surge Protector,Air,Hamburg Port,Retailers,15.83,36.74,6644.53,161.89,7.2,Low,2023
Pinnacle Resources,Peru,Residential,Washing Machine,Ship,Interstate 25 (I-25),Logistics,11.46,21.59,2041.65,679.1,5.8,Medium,2022
Elevate Enterprises,Greece,Electric,Smart Plug,Truck,Shinkansen Tokyo-Osaka,Warehouses,2.62,13.2,3930.07,186.47,8.5,Low,2022
Ascend Supply Chain,Bangladesh,Commercial,Shredder,Truck,Port of Hamburg,Logistics,3.43,12.99,3925.72,443.11,7.4,Medium,2020
Zenith Logistics,Brazil,Electric,Smart Plug,Ship,Eurostar London-Paris,Wholesalers,16.47,49.52,9942.31,762.84,8.4,Medium,2022
Nova Enterprises,Philippines,Residential,Television,Ship,Port of Long Beach,Retailers,12.51,4.39,8775.27,934.49,4.1,High,2023
Celestial Resources,Ireland,Residential,Air Conditioner,Ship,LAX Airport,Suppliers,8.22,28.39,7396.31,348.53,8.6,Low,2020
Zenith Logistics,Brazil,Electric,Power Strip,Train,Paris Orly Airport,Logistics,12.31,18.8,4740.58,755.32,3.2,Medium,2021
Spectrum Trading Solutions,Mexico,Residential,Microwave,Air,Port of Los Angeles,Wholesalers,12.13,31.91,4645.22,429.7,5.6,Low,2021
Proxima Trading Co.,Russia,Residential,Heater,Ship,Interstate 75 (I-75),Warehouses,12.33,39.57,7520.27,99.15,6,Medium,2023
Apex Supply Co.,Canada,Residential,Washing Machine,Train,Thalys Cologne-Paris,Warehouses,7.77,30.11,3434.66,266.33,5.9,High,2021
Celestial Supply Chain,Chile,Commercial,Office Desk,Ship,Port of Jebel Ali,Warehouses,3.45,46.24,256.2,843.03,7.9,High,2018
Summit Distribution,Poland,Industrial,Forklift,Truck,Interstate 55 (I-55),Suppliers,11.79,20.71,9823.32,702.56,9.8,Low,2019
Zenith Logistics,Brazil,Electric,Surge Protector,Air,Interstate 80 (I-80),Retailers,15.94,42.12,3236.14,244.33,6.9,High,2019
Vanguard Resources,Taiwan,Commercial,Desk Chair,Truck,Port of Rotterdam,Suppliers,11.3,14.57,5524.4,691.3,5.4,Medium,2019
Elevate Enterprises,Greece,Transportation,GPS System,Truck,Thalys Paris-Brussels,Retailers,18.65,15.58,4669.3,381.18,7,Low,2022
